Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
71,3.0,0.0,0.0,907.0,11.0,94.0,5134.0,0.1,47.50599999999999,0.0,0.0,861.4106543064117,,,,,,,,,,,,,,,,,,,,,21.075557721427437,14.325947194286968,45.61608412635442,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,3.0,0.0,0.0,975.0,12.0,68.0,5202.0,0.1,38.707,0.0,0.0,867.8007111549377,,,,,,,,,,,,,,,,,,,,,14.483513365960778,12.457740744961058,37.797678650737474,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,3.0,0.0,0.0,1027.0,13.0,52.0,5254.0,0.1,36.50699999999999,0.0,0.0,872.8353023529053,,,,,,,,,,,,,,,,,,,,,13.83389986602202,12.2340123308695,35.85931998762211,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,3.0,0.0,0.0,1073.0,14.0,46.0,5300.0,0.1,16.107000000000003,0.0,0.0,877.3566801548004,,,,,,,,,,,,,,,,,,,,,4.431924371222777,4.89772258482419,15.934985514968174,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,3.0,0.0,0.0,1309.0,15.0,236.0,5536.0,0.1,197.40599999999998,0.0,0.0,898.7416017055511,,,,,,,,,,,,,,,,,,,,,86.51213183620156,52.96769982995163,177.34364683668315,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,3.0,0.0,0.0,1352.0,16.0,43.0,5579.0,0.1,15.10899999999999,0.0,0.0,902.9543070793152,,,,,,,,,,,,,,,,,,,,,3.6999832604085743,4.668362716118213,14.979845430818642,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,3.0,0.0,0.0,1435.0,17.0,83.0,5662.0,0.1,47.906000000000006,0.0,0.0,910.7465720176697,,,,,,,,,,,,,,,,,,,,,19.652914556618104,14.52701342810955,46.36749671773946,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,3.0,0.0,0.0,1594.0,18.0,159.0,5821.0,0.1,86.40999999999991,0.0,0.0,925.1052622795105,,,,,,,,,,,,,,,,,,,,,31.42991450219131,25.488873685076232,81.57571344532877,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,3.0,0.0,0.0,1700.0,19.0,106.0,5927.0,0.1,49.60800000000003,0.0,0.0,935.088630437851,,,,,,,,,,,,,,,,,,,,,15.87416327407085,13.710238226563263,48.02133333829173,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,3.0,0.0,0.0,1747.0,20.0,47.0,5974.0,0.1,24.607000000000024,0.0,0.0,939.5947558879852,,,,,,,,,,,,,,,,,,,,,7.595114818070008,8.1308931115031,24.298602509968134,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,4.0,0.0,0.0,110.0,1.0,110.0,6084.0,0.1,85.80499999999998,0.0,0.0,1113.0636134147644,,,,,,,,,,,,,,,,,,,,,37.0919503391777,25.92631466423939,81.88858073558087,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,4.0,0.0,0.0,174.0,2.0,64.0,6148.0,0.1,34.30500000000001,0.0,0.0,1119.1378922462463,,,,,,,,,,,,,,,,,,,,,13.46990877220814,9.981934810070378,33.509912152972475,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,4.0,0.0,0.0,203.0,3.0,29.0,6177.0,0.1,12.804999999999994,0.0,0.0,1122.405288696289,,,,,,,,,,,,,,,,,,,,,3.808659609299126,4.296715112153201,12.719976103561347,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,4.0,0.0,0.0,248.0,4.0,45.0,6222.0,0.1,29.607000000000017,0.0,0.0,1126.8767659664154,,,,,,,,,,,,,,,,,,,,,10.726688819116788,10.082501333812917,29.182635090686034,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,4.0,0.0,0.0,284.0,5.0,36.0,6258.0,0.1,22.105000000000015,0.0,0.0,1130.5088543891907,,,,,,,,,,,,,,,,,,,,,7.82163144269383,7.582008363830798,21.86713366826589,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,4.0,0.0,0.0,399.0,6.0,115.0,6373.0,0.1,60.40700000000002,0.0,0.0,1141.0941331386566,,,,,,,,,,,,,,,,,,,,,24.350474477264967,16.663784869817114,57.72208187678625,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,4.0,0.0,0.0,446.0,7.0,47.0,6420.0,0.1,27.106000000000016,0.0,0.0,1145.9323024749756,,,,,,,,,,,,,,,,,,,,,10.114720573830503,8.723853700493013,26.683949347776167,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,4.0,0.0,0.0,596.0,8.0,150.0,6570.0,0.1,109.00799999999998,0.0,0.0,1159.4910159111023,,,,,,,,,,,,,,,,,,,,,44.2294042858625,32.172179764322486,102.57864406660977,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,4.0,0.0,0.0,791.0,9.0,195.0,6765.0,0.1,108.50700000000003,0.0,0.0,1176.9281935691833,,,,,,,,,,,,,,,,,,,,,47.474477373977244,28.75210749243429,99.44827401182414,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,4.0,0.0,0.0,969.0,10.0,178.0,6943.0,0.1,81.10700000000006,0.0,0.0,1192.9263887405396,,,,,,,,,,,,,,,,,,,,,31.22063863775219,21.271989813156534,75.70105272688116,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,4.0,0.0,0.0,1010.0,11.0,41.0,6984.0,0.1,26.106000000000016,0.0,0.0,1197.0209300518036,,,,,,,,,,,,,,,,,,,,,9.335652909925832,8.908424727684256,25.774761979890844,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,4.0,0.0,0.0,1067.0,12.0,57.0,7041.0,0.1,29.007000000000016,0.0,0.0,1202.807920217514,,,,,,,,,,,,,,,,,,,,,11.167212481304185,8.848108761080955,28.42729505137336,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,4.0,0.0,0.0,1104.0,13.0,37.0,7078.0,0.1,19.30700000000002,0.0,0.0,1206.508826494217,,,,,,,,,,,,,,,,,,,,,5.996659051572878,6.570685516963362,19.123351194128873,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,4.0,0.0,0.0,1175.0,14.0,71.0,7149.0,0.1,49.205,0.0,0.0,1213.2092926502228,,,,,,,,,,,,,,,,,,,,,19.181091782194393,15.360039370483552,47.93897248947063,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,4.0,0.0,0.0,1272.0,15.0,97.0,7246.0,0.1,51.00699999999999,0.0,0.0,1222.175449371338,,,,,,,,,,,,,,,,,,,,,22.629435274912893,15.317954851840888,48.90971529921661,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,4.0,0.0,0.0,1365.0,16.0,93.0,7339.0,0.1,52.90600000000002,0.0,0.0,1231.032819032669,,,,,,,,,,,,,,,,,,,,,22.562468044289965,14.953125001980519,50.90945847938133,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,4.0,0.0,0.0,1457.0,17.0,92.0,7431.0,0.1,51.907999999999994,0.0,0.0,1239.633050441742,,,,,,,,,,,,,,,,,,,,,22.08806176718123,16.20716397402348,49.975799941502395,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,4.0,0.0,0.0,1613.0,18.0,156.0,7587.0,0.1,94.4059999999998,0.0,0.0,1253.6937403678894,,,,,,,,,,,,,,,,,,,,,35.1472890511633,27.37729313444303,89.10113607904049,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,4.0,0.0,0.0,1683.0,19.0,70.0,7657.0,0.1,42.40899999999999,0.0,0.0,1260.3705389499664,,,,,,,,,,,,,,,,,,,,,14.86466112754375,13.44902179287087,41.45133493961624,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4.0,0.0,0.0,1788.0,20.0,105.0,7762.0,0.1,38.908000000000044,0.0,0.0,1269.958268404007,,,,,,,,,,,,,,,,,,,,,16.707876319816886,10.198110430724581,37.228091942211705,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,5.0,0.0,0.0,298.0,1.0,298.0,8060.0,0.1,212.81299999999993,0.0,0.0,1476.2907977104187,,,,,,,,,,,,,,,,,,,,,89.65902870955249,55.64110384466091,186.4673576925808,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,5.0,0.0,0.0,484.0,2.0,186.0,8246.0,0.1,122.40599999999995,0.0,0.0,1492.9432108402252,,,,,,,,,,,,,,,,,,,,,49.06772096361084,33.25585171194225,113.50630300046639,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,5.0,0.0,0.0,566.0,3.0,82.0,8328.0,0.1,56.306000000000004,0.0,0.0,1500.8524198532104,,,,,,,,,,,,,,,,,,,,,22.528274169547604,18.620810248178156,54.56776247528519,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,5.0,0.0,0.0,751.0,4.0,185.0,8513.0,0.1,101.60600000000002,0.0,0.0,1517.556022644043,,,,,,,,,,,,,,,,,,,,,45.5132479336267,26.229232543250635,93.37270116190176,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,5.0,0.0,0.0,791.0,5.0,40.0,8553.0,0.1,21.007000000000023,0.0,0.0,1521.5861883163452,,,,,,,,,,,,,,,,,,,,,6.4696909138447065,7.122445814184517,20.789771115906913,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,5.0,0.0,0.0,902.0,6.0,111.0,8664.0,0.1,48.40600000000004,0.0,0.0,1531.797515630722,,,,,,,,,,,,,,,,,,,,,17.02638004052708,13.12107713932197,46.60924369364509,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,5.0,0.0,0.0,1418.0,7.0,516.0,9180.0,0.1,305.4099999999999,0.0,0.0,1577.5504050254822,,,,,,,,,,,,,,,,,,,,,123.30902194947903,70.47715477917234,242.26683607939162,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,5.0,0.0,0.0,1717.0,8.0,299.0,9479.0,0.1,216.00799999999987,0.0,0.0,1604.0842216014862,,,,,,,,,,,,,,,,,,,,,89.12257696302686,57.0860810726244,189.73963902646895,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,5.0,0.0,0.0,1816.0,9.0,99.0,9578.0,0.1,68.10499999999999,0.0,0.0,1613.1244373321533,,,,,,,,,,,,,,,,,,,,,29.59203011322914,20.651269111809004,65.3059355840228,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,5.0,0.0,0.0,2143.0,10.0,327.0,9905.0,0.1,199.7079999999997,0.0,0.0,1642.025997877121,,,,,,,,,,,,,,,,,,,,,81.23104844717199,52.39352569642658,173.49225818188032,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,5.0,0.0,0.0,2424.0,11.0,281.0,10186.0,0.1,160.90799999999996,0.0,0.0,1667.3079497814178,,,,,,,,,,,,,,,,,,,,,74.11346925070501,39.42623883553801,140.36270017820826,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,5.0,0.0,0.0,2515.0,12.0,91.0,10277.0,0.1,35.50500000000005,0.0,0.0,1675.6956384181976,,,,,,,,,,,,,,,,,,,,,10.613339137866124,10.127483208624591,34.60836826661915,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,5.0,0.0,0.0,2570.0,13.0,55.0,10332.0,0.1,26.706000000000024,0.0,0.0,1680.9626665115356,,,,,,,,,,,,,,,,,,,,,8.996482417809771,8.468375431824704,26.2636945925109,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,5.0,0.0,0.0,2603.0,14.0,33.0,10365.0,0.1,10.707999999999991,0.0,0.0,1684.343712568283,,,,,,,,,,,,,,,,,,,,,2.5965757029403993,3.3714005511772576,10.643589537288008,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,5.0,0.0,0.0,2661.0,15.0,58.0,10423.0,0.1,35.105999999999995,0.0,0.0,1689.816975593567,,,,,,,,,,,,,,,,,,,,,13.430070798396388,11.081694584229208,34.39581312412814,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
